代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,預期現金股利,現金殖利率,股利發放率中位數
6488,環球晶,478100,2553,906248550.3875968,13103614.0,11870037.0,15367386.0,19772048.0,10880925,7834266,6963792.0,6963792.0,0.5978706332466753,0.5866697803890586,0.4531539716644067,539.0,2024-06-28,11599663.058001924,0.0450129903425003,0.5866697803890586
2301,光寶科,2348000,2524,3668245504.891892,10016038.0,13886552.0,14151016.0,14570616.0,7443283,12560540,9144103.0,11519737.0,1.25404276621155,0.6584862102557928,0.8140572380103308,106.0,2024-06-28,11861315.417069133,0.047657241076585186,0.8140572380103308
1519,華城,261100,2402,4338656796.057915,457514.0,289883.0,838249.0,2577260.0,261058,339376,261059.0,652646.0,0.7417827651175701,0.9005667803907094,0.7785824975633732,945.0,2024-06-28,2006609.527670179,0.008132502204430904,0.7785824975633732
2887,台新金,12480000,2339,288121893.027027,,,,,7849089,7816861,8660177.0,,,,,18.85,2024-06-28,,,
3661,世芯-KY,79200,2106,7231695265.810811,834917.0,1489723.0,1834414.0,3325170.0,214111,465387,845743.0,930917.0,0.5574051073340224,0.5677182939378663,0.5074737763667307,2455.0,2024-06-28,1853466.7407538712,0.009532528650835603,0.5574051073340224
1590,亞德客-KY,200000,2100,645314775.1583011,4845297.0,6442025.0,6013131.0,6965808.0,913133,1712016,2675892.0,2687810.0,0.3533356159591455,0.4153805674457954,0.4469900955093112,988.0,2024-06-28,2893461.279758461,0.014643022670842413,0.4153805674457954
3443,創意,134000,2097,5733516935.339768,850007.0,1460149.0,3710442.0,3507885.0,670060,670060,938083.0,1876167.0,0.7882993904756078,0.642457036918835,0.5056451495536112,1605.0,2024-06-28,2253665.4029520275,0.010478752977877098,0.642457036918835
2408,南亞科,3099000,2051,952469497.100386,,,,,4600000,4000000,11470000.0,6600000.0,,,,69.7,2024-06-28,,,
6415,矽力*-KY,385000,2025,1329043132.2200773,3278478.0,5733776.0,6038731.0,746004.0,683341,971321,1692199.0,1721681.0,0.2962719286205367,0.2951282017295409,0.2851064238496466,462.0,2024-06-28,220166.81900304442,0.0012377962500873922,0.2951282017295409
3529,力旺,74700,2019,1423690224.8062017,707999.0,1101157.0,1611909.0,1474443.0,519866,670536,1043820.0,1529693.0,0.9470860834549202,0.9479302224841688,0.9489946392755424,2570.0,2024-06-28,1397669.0810302254,0.007280322748999763,0.9479302224841688
2376,技嘉,635700,2002,6673614814.637066,4374329.0,13337960.0,6538521.0,4742979.0,1398516,3178444,7619807.0,3941271.0,0.726612927376976,0.5712872883109561,0.6027771418031692,305.5,2024-06-28,2858959.325252454,0.01472124534162994,0.6027771418031692
2356,英業達,3588000,1987,2985650968.6370654,7547985.0,6537765.0,6128786.0,6130732.0,4663718,6636829,5022465.0,5381213.0,0.8792848687431148,0.7682235442846294,0.8780226622368607,55.8,2024-06-28,5382921.632100713,0.026886323747920753,0.8780226622368607
3533,嘉澤,111900,1958,1367813526.19305,2732361.0,3472201.0,6254263.0,5593032.0,1086518,1376256,1695646.0,2803575.0,0.5036874702866861,0.4883490327892884,0.4482662465585473,1630.0,2024-06-28,2731351.767559539,0.01497476256495194,0.4883490327892884
2618,長榮航,5400000,1952,3220362381.2664094,3361639.0,6608496.0,7091299.0,21594425.0,1213392,0,3163333.0,4290310.0,0.0,0.4786766913379383,0.605010450130505,38.15,2024-06-28,10336747.910345258,0.050175952188462984,0.4786766913379383
1402,遠東新,5353000,1903,216664398.84169888,8062699.0,9684584.0,8160292.0,8229199.0,8028144,7226382,8029313.0,14306261.0,0.8962733198895307,0.829081868668804,1.753155524336629,35.25,2024-06-28,7375611.507761606,0.03908783969623506,0.8962733198895307
5347,世界,1639000,1803,1000137449.6124032,6305520.0,11819588.0,15280388.0,7370074.0,5244743,5736438,7375420.0,7375420.0,0.9097486012255928,0.6239997536293144,0.4826722986353488,129.5,2024-06-28,4598924.360229815,0.02166743710959369,0.6239997536293144
5274,信驊,37800,1793,1370455127.9069767,1004689.0,1312925.0,2105614.0,1006810.0,752946,892204,1202427.0,1701931.0,0.8880399805312887,0.9158382999790544,0.8082825247172559,4840.0,2024-06-28,894087.5327987068,0.004887006060598992,0.8880399805312887
2633,台灣高鐵,5628000,1688,104606837.43629344,,,,,6810797,5909708,4266246.0,3770956.0,,,,30.4,2024-06-28,,,
3293,鈊象,140900,1656,1034610647.2868216,3408539.0,4734706.0,5478229.0,6425804.0,1761260,2958916,3522519.0,4931527.0,0.8680892311926018,0.7439784011932314,0.9002046099204688,1355.0,2024-06-28,5578171.254154346,0.029217399239754693,0.8680892311926018
5269,祥碩,74700,1650,1813334489.4092665,,,,,828522,1661349,1799669.0,1387295.0,,,,2240.0,2024-06-28,,,
