代號,公司名稱,109季,110季,111季,112季
6005,群益證,"3,569,529","5,249,590","840,040","4,131,510"
2889,國票金
2809,京城銀
2855,統一證
2867,三商壽
2441,超豐
5534,長虹
6278,台表科6139
3481,群創
5483,中美晶
2801,彰銀
5508,永信建
