代號,公司名稱,109季,110季,111季,112季
5876,上海商銀
3661,世芯-KY,"-845,743","-930,917"
3293,鈊象,"-1,761,260","-2,958,916","-3,522,519","-4,931,527"
5269,祥碩,"-828,522","-1,661,349","-1,799,669","-1,387,295"
6446,藥華藥
2441,超豐,"-1,308,346","-1,763,422","-2,844,230","-2,104,730"
8070,長華*,"-804,887","-867,449","-1,378,839","-1,666,711"
6515,穎崴,"-366,564","-439,907","-376,200","-754,468"
8926,台汽電,"-1,001,383","-1,119,192","-1,030,835","-618,501"
6214,精誠,"-1,346,967","-1,346,967","-1,131,452","-1,361,517"
