代號,公司名稱,2023 第一季,2023 第二季,2023 第三季,2023 第四季,2024 第一季
4915.0,致伸,554882.0,1254116.0,1990712.0,2344565.0,24109.0
4919.0,新唐,671601.0,1114375.0,1713535.0,-440774.0,385213.0
4938.0,和碩,-417015.0,1777617.0,8723975.0,219669.0,7406261.0
4958.0,臻鼎-KY,1409739.0,-1454218.0,7361234.0,-1253016.0,6409429.0
4966.0,譜瑞-KY,4.46,910826.0,17.53,25.55,7.17
5269.0,祥碩,829705.0,816730.0,1474090.0,-59755.0,917240.0
5274.0,信驊,4.93,11.3,18.46,1006571.0,393615.0
5347.0,世界,1363819.0,3358945.0,4982328.0,3.48,1272079.0
5371.0,中光電,0.0,-377315.0,948781.0,1413047.0,13.0
5434.0,崇越,743744.0,1411618.0,2216640.0,-68110.0,778805.0
5483.0,中美晶,-1302287.0,-1107205.0,460064.0,-319692.0,1902010.0
5508.0,永信建,0.0,0.0,0.0,0.0,0.0
5522.0,遠雄,1.41,1.42,2.19,3717627.0,0.56
5534.0,長虹,144288.0,0.0,0.0,1835927.0,86948.0
5871.0,中租-KY,9877490.0,18965212.0,28005474.0,36212948.0,8219397.0
5876.0,上海商銀,1343572.0,981149.0,6591273.0,4006061.0,3079792.0
5880.0,合庫金,5036635.0,-964.0,451.0,9524006.0,756.0
5903.0,全家,0.88,18566.0,1189718.0,1638589.0,1.17
5904.0,寶雅,0.0,0.0,0.0,24.41,0.0
6005.0,群益證,8430.0,17728.0,-120254.0,43272.0,360.0
6121.0,新普,1242959.0,2807803.0,5292983.0,-237329.0,1769883.0
6139.0,亞翔,319472.0,786459.0,1769575.0,64648.0,931374.0
6147.0,頎邦,1456129.0,1273531.0,3243058.0,-45318.0,1479047.0
6176.0,瑞儀,808374.0,2660246.0,5177850.0,-245804.0,2534905.0
6191.0,精成科,166927.0,407956.0,1312527.0,637519.0,720428.0
6213.0,聯茂,99991.0,-428279.0,371884.0,-280579.0,825128.0
6214.0,精誠,486146.0,881699.0,1283620.0,1578888.0,685991.0
6223.0,旺矽,30111.0,622676.0,1034895.0,1309575.0,177160.0
6239.0,力成,296065.0,692234.0,1112623.0,9363758.0,1736636.0
6257.0,矽格,82461.0,205691.0,335320.0,2664897.0,119892.0
6274.0,台燿,-0.77,0.23,1.6,-185432.0,1.66
6278.0,台表科,284694.0,916634.0,1829855.0,2255469.0,977577.0
6285.0,啟碁,406.0,-153406.0,93248.0,-35037.0,317105.0
6409.0,旭隼,745913.0,2067943.0,2697586.0,3622556.0,713868.0
6412.0,群電,623512.0,1127960.0,31810.0,3294677.0,859641.0
6414.0,樺漢,280.0,707890.0,-69887.0,-79599.0,886393.0
6415.0,矽力*-KY,-253983.0,385559.0,1523414.0,-844.0,1334185.0
6446.0,藥華藥,0.0,-912359.0,-520850.0,102037.0,1.0
6472.0,保瑞,3927.0,12729.0,189840.0,41779.0,27524.0
6488.0,環球晶,5000228.0,9789589.0,15328831.0,-461302.0,3533833.0
6491.0,晶碩,6500.0,0.0,1078861.0,22029.0,5139.0
6505.0,台塑化,8280.0,6022.0,-4987.0,45201.0,2931.0
6515.0,穎崴,144786.0,8.14,407054.0,13.52,5.81
6531.0,愛普*,62576.0,0.0,1076870.0,8.93,2.27
6548.0,長科*,380110.0,864258.0,1284707.0,-57968.0,436921.0
6592.0,和潤企業,943590.0,-30327.0,3018700.0,3811711.0,1002373.0
6605.0,帝寶,448477.0,-43154.0,-22335.0,-22019.0,18663.0
6643.0,M31,2.24,169076.0,323791.0,435189.0,43717.0
6669.0,緯穎,3224562.0,6452564.0,10313195.0,128620.0,6296743.0
6670.0,復盛應用,687934.0,1064535.0,1720224.0,2404300.0,1074251.0
6781.0,AES-KY,636920.0,1047039.0,1500437.0,-127424.0,837497.0
8016.0,矽創,476095.0,1258861.0,1954214.0,213466.0,161268.0
8046.0,南電,96087.0,-446859.0,330741.0,-312115.0,553060.0
8069.0,元太,-549590.0,-449501.0,544186.0,23258.0,988019.0
8070.0,長華*,-1985.0,-9252.0,55973.0,-18246.0,319789.0
8112.0,至上,-19640.0,694011.0,1378436.0,2397815.0,530645.0
8210.0,勤誠,46871.0,305656.0,527308.0,-32888.0,474054.0
8299.0,群聯,5821.0,76645.0,52332.0,-124063.0,67548.0
8415.0,大國鋼,585681.0,235753.0,746402.0,1068.0,-336595.0
8454.0,富邦媒,19438.0,-15944.0,-11518.0,-10752.0,11651.0
8464.0,億豐,1128799.0,2483212.0,4069198.0,225971.0,1429034.0
8478.0,東哥遊艇,7.0,12.68,17.52,23.66,6.08
8926.0,台汽電,3573.0,4460.0,1061446.0,-1534.0,2197.0
8996.0,高力,126662.0,334263.0,540399.0,555824.0,128583.0
9904.0,寶成,-1066132.0,505874.0,3908496.0,4603829.0,8406608.0
9910.0,豐泰,749359.0,238837.0,3635293.0,-10923.0,143621.0
9914.0,美利達,529375.0,1666238.0,3088799.0,67898.0,1196227.0
9917.0,中保科,10566.0,90374.0,26015.0,44611.0,619580.0
9921.0,巨大,1006770.0,1955477.0,3120405.0,-351.0,1136562.0
9933.0,中鼎,298855.0,726051.0,1294301.0,2585089.0,289901.0
9939.0,宏全,41144.0,67975.0,89056.0,85806.0,27744.0
9941.0,裕融,55162.0,-200895.0,241911.0,603.0,1804874.0
9945.0,潤泰新,-174865.0,226803.0,594429.0,1283544.0,1397234.0
9958.0,世紀鋼,47789.0,278633.0,590396.0,1046617.0,650760.0
