代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,平均股利發放率,預期現金股利,現金殖利率
1101,台泥,7551000,2567,644027988.0501931,25099309,20256366,5404984,7997814,16479137,23014042,7627265.0,4061436.0,0.9169193462656681,0.3765366897497804,0.751424241033831,34.2,2024-06-28,0.6816267590164266,5451524.036036203,0.02110995730411836
2883,開發金,16830000,2567,603028101.8918918,,,,,8761068,16851631,,,,,,15.1,2024-06-28,,,
6488,環球晶,478100,2553,906248550.3875968,13103614,11870037,15367386,19772048,10880925,7834266,6963792.0,6963792.0,0.5978706332466753,0.5866697803890586,0.4531539716644067,539.0,2024-06-28,0.5458981284333803,10793523.998494959,0.04188473312340227
2301,光寶科,2348000,2524,3668245504.891892,10016038,13886552,14151016,14570616,7443283,12560540,9144103.0,11519737.0,1.2540427662115499,0.6584862102557928,0.8140572380103308,106.0,2024-06-28,0.9088620714925578,13242680.240682608,0.05320738742198341
1519,華城,261100,2402,4338656796.057915,457514,289883,838249,2577260,261058,339376,261059.0,652646.0,0.7417827651175701,0.9005667803907094,0.7785824975633732,945.0,2024-06-28,0.8069773476905509,2079790.4391089492,0.00842909400038887
2887,台新金,12480000,2339,288121893.027027,,,,,7849089,7816861,8660177.0,,,,,18.85,2024-06-28,,,
3661,世芯-KY,79200,2106,7231695265.810811,834917,1489723,1834414,3325170,214111,465387,845743.0,930917.0,0.5574051073340224,0.5677182939378663,0.5074737763667307,2455.0,2024-06-28,0.5441990592128731,1809554.3857228693,0.009306683873988713
1590,亞德客-KY,200000,2100,645314775.1583011,4845297,6442025,6013131,6965808,913133,1712016,2675892.0,2687810.0,0.35333561595914553,0.4153805674457954,0.4469900955093112,988.0,2024-06-28,0.4052354263047507,2822792.174437043,0.014285385498163173
3443,創意,134000,2097,5733516935.339768,850007,1460149,3710442,3507885,670060,670060,938083.0,1876167.0,0.7882993904756078,0.642457036918835,0.5056451495536112,1605.0,2024-06-28,0.645467192316018,2264224.681917475,0.010527849918247432
2408,南亞科,3099000,2051,952469497.1003861,,,,,4600000,4000000,11470000.0,6600000.0,,,,69.7,2024-06-28,,,
6415,矽力*-KY,385000,2025,1329043132.2200773,3278478,5733776,6038731,746004,683341,971321,1692199.0,1721681.0,0.29627192862053675,0.2951282017295409,0.2851064238496466,462.0,2024-06-28,0.29216885139990806,217959.131819737,0.001225384448303463
3529,力旺,74700,2019,1423690224.8062015,707999,1101157,1611909,1474443,519866,670536,1043820.0,1529693.0,0.9470860834549202,0.9479302224841689,0.9489946392755423,2570.0,2024-06-28,0.9480036484048772,1397777.3433650322,0.007280886677006507
2376,技嘉,635700,2002,6673614814.637066,4374329,13337960,6538521,4742979,1398516,3178444,7619807.0,3941271.0,0.726612927376976,0.5712872883109561,0.6027771418031692,305.5,2024-06-28,0.6335591191637004,3004957.597451929,0.015473014128796144
2356,英業達,3588000,1987,2985650968.6370654,7547985,6537765,6128786,6130732,4663718,6636829,5022465.0,5381213.0,0.8792848687431148,0.7682235442846294,0.8780226622368607,55.8,2024-06-28,0.8418436917548683,5161118.060039707,0.025778471348340087
3533,嘉澤,111900,1958,1367813526.1930501,2732361,3472201,6254263,5593032,1086518,1376256,1695646.0,2803575.0,0.5036874702866861,0.48834903278928843,0.44826624655854735,1630.0,2024-06-28,0.48010091654484066,2685219.789464623,0.014721841858498896
2618,長榮航,5400000,1952,3220362381.2664094,3361639,6608496,7091299,21594425,1213392,0,3163333.0,4290310.0,0.0,0.47867669133793833,0.605010450130505,38.15,2024-06-28,0.5418435707342217,11700800.349952346,0.05679724455100405
1402,遠東新,5353000,1903,216664398.84169886,8062699,9684584,8160292,8229199,8028144,7226382,8029313.0,14306261.0,0.8962733198895307,0.829081868668804,1.753155524336629,35.25,2024-06-28,1.159503570964988,9541785.626681507,0.05056771043310508
5347,世界,1639000,1803,1000137449.6124032,6305520,11819588,15280388,7370074,5244743,5736438,7375420.0,7375420.0,0.9097486012255929,0.6239997536293144,0.4826722986353488,129.5,2024-06-28,0.6721402178300853,4953723.143783848,0.023339041103713997
5274,信驊,37800,1793,1370455127.9069767,1004689,1312925,2105614,1006810,752946,892204,1202427.0,1701931.0,0.8880399805312887,0.9158382999790544,0.8082825247172559,4840.0,2024-06-28,0.8707202684091997,876649.8734370663,0.00479169330445727
2633,台灣高鐵,5628000,1688,104606837.43629344,,,,,6810797,5909708,4266246.0,3770956.0,,,,30.4,2024-06-28,,,
3293,鈊象,140900,1656,1034610647.2868217,3408539,4734706,5478229,6425804,1761260,2958916,3522519.0,4931527.0,0.8680892311926018,0.7439784011932314,0.9002046099204688,1355.0,2024-06-28,0.8374240807687673,5381123.007900268,0.02818529803346577
5269,祥碩,74700,1650,1813334489.4092665,,,,,828522,1661349,1799669.0,1387295.0,,,,2240.0,2024-06-28,,,
