"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"94",="2385","群光","市","06/14","192.5","+3","+1.58","10","76","76.01","1,463","41.3","25.4","有","","有","","","","電子零組件業","許崑泰","呂進宗"
"95",="2888","新光金","市","06/14","9.43","+0.15","+1.62","10","1,578","1,549","1,460","22.3","22.3","有","有","有","有","","有","金控業","陳淮舟","陳恩光"
"96",="3702","大聯大","市","06/14","86.2","+0.1","+0.12","10","188","167.9","1,447","18.6","18.6","有","","有","","","有","電子通路業","黃偉祥","張蓉崗"
"97",="6239","力成","市","06/14","190.5","+1","+0.53","10","75.9","75.91","1,446","27.1","21.2","有","","有","","","","半導體業","蔡篤恭","呂肇祥"
"98",="2834","臺企銀","市","06/14","17.15","0","0","10","822","822.2","1,410","73.7","26.4","有","","有","","","","銀行業","劉佩真","張志堅"
"99",="2409","友達","市","06/14","18.3","+0.35","+1.95","10","770","769.9","1,409","27.8","23.8","有","有","有","","","","光電業","彭又又浪","柯富仁"
"100",="1503","士電","市","06/14","269.5","+24.5","+10","10","52.1","52.1","1,404","68.6","54.5","","","有","","","","電機機械","許育瑞","謝漢章"
"101",="2610","華航","市","06/14","23","+0.15","+0.66","10","605","605.2","1,392","64.8","31.3","有","","有","有","","","航運業","謝世謙","高星潢"
"102",="2347","聯強","市","06/14","82.8","-0.6","-0.72","10","167","166.8","1,381","35.8","28.5","有","","","","","","電子通路業","苗豐強","杜書伍"
"103","00772B","中信高評級公司債","櫃","06/14","36.13","+0.25","+0.7","","","379.5","1,371","5.4","5.38","有","","","","","","N/A","陳金榮","陳正華"
"104",="6526","達發","市","06/14","809","+23","+2.93","10","16.8","16.75","1,355","22.8","0.66","","","有","","","","半導體業","謝清江","謝清江"
"105",="2371","大同","市","06/14","57.6","+1.9","+3.41","10","234","234","1,348","74.2","62.3","有","","有","有","","","電機機械","王光祥","沈柏延"
"106",="9945","潤泰新","市","06/14","45.5","+0.45","+1","10","284","284.4","1,294","46.8","32.1","有","","有","","","","其他業","簡滄圳","李志宏"
"107",="8299","群聯","櫃","06/14","630","+5","+0.8","10","20.5","20.48","1,290","23.6","19.5","有","","有","有","","","半導體業","顏暐駩","馬中迅"
"108",="3036","文曄","市","06/14","114.5","+1.5","+1.33","10","125","111.6","1,278","30.5","23.7","有","","有","","","有","電子通路業","鄭文宗","鄭文宗"
"109",="8046","南電","市","06/14","194","0","0","10","64.6","64.62","1,254","26.6","18.2","有","","有","","","","電子零組件業","吳嘉昭","湯安得"
"110",="1504","東元","市","06/14","57.9","+0.6","+1.05","10","214","213.9","1,238","68","50.6","有","","有","有","","","電機機械","利明献","范炘"
"111",="3481","群創","市","06/14","13.6","+0.4","+3.03","10","908","907.9","1,235","21.4","17.6","有","有","有","","","","光電業","洪進揚","楊柱祥"
"112",="5483","中美晶","櫃","06/14","210.5","-1","-0.47","10","58.6","58.62","1,234","43.4","23.3","有","","有","","","","半導體業","徐秀蘭","陳振乾"
"113",="2360","致茂","市","06/14","283","-4","-1.39","10","42.5","42.54","1,204","39.6","27.5","有","","有","","","","其他電子業","黃欽明","黃欽明"
"114",="2449","京元電子","市","06/14","95.9","+1.2","+1.27","10","122","122.3","1,173","37.1","23.1","有","","有","","","","半導體業","李金恭","張高薰"
"115",="4958","臻鼎-KY","市","06/14","121","+2","+1.68","10","94.7","94.7","1,146","18","12.5","有","","有","有","","","電子零組件業","沈慶芳","沈慶芳"
"116",="2059","川湖","市","06/14","1195","-10","-0.83","10","9.53","9.53","1,139","37.7","19.1","有","","有","","","","電子零組件業","林聰吉","林淑珍"
"117",="3044","健鼎","市","06/14","212.5","-1","-0.47","10","52.6","52.56","1,117","32.5","23.5","有","","有","","","","電子零組件業","王景春","黃樂仁"
"118",="6770","力積電","市","06/14","26.7","+0.5","+1.91","10","414","414","1,105","16.2","2.52","有","","有","","","","半導體業","黃崇仁","朱憲國"
"119",="6789","采鈺","市","06/14","343.5","+3.5","+1.03","10","31.7","31.7","1,089","20.5","1.96","","","有","","","","半導體業","關欣","關欣"
"120",="9904","寶成","市","06/14","36.9","+0.15","+0.41","10","295","294.7","1,087","54.8","34.4","有","","有","","","","運動休閒","詹陸銘","盧金柱"
"121",="1229","聯華","市","06/14","67","+0.1","+0.15","10","158","158.4","1,061","68.9","47.9","","","","有","","","食品工業","苗豐強","林信宏"
"122",="8464","億豐","市","06/14","362","-10.5","-2.82","10","29.3","29.3","1,061","16.9","8.48","","","","","","","居家生活","粘耿豪","粘肇紘"
"123",="2344","華邦電","市","06/14","24.65","0","0","10","418","418","1,030","36.7","28.7","有","","有","","","","半導體業","焦佑鈞","陳沛銘"
"124","00725B","國泰投資級公司債","櫃","06/14","38.11","+0.18","+0.47","","","269.2","1,026","6.4","6.35","","","","","","","N/A","張錫","張雍川"
"125",="8454","富邦媒","市","06/14","425","+0.5","+0.12","10","24","24.03","1,021","19.7","9.49","有","","有","","","","數位雲端","蔡明忠","谷元宏"
"126",="006208","富邦台50","市","06/14","105.25","+0.7","+0.67","","","96.95","1,020","12","11.9","","","","","","","N/A","史綱","林欣怡"
"127",="6176","瑞儀","市","06/14","219","+2.5","+1.15","10","46.5","46.5","1,018","28.9","22.1","有","","有","","","","光電業","王昱超","王昱超"
"128","00724B","群益投資級金融債","櫃","06/14","35.46","+0.2","+0.57","","","278.9","989","6.5","6.5","","","","","","","N/A","賴政昇","陳明輝"
"129",="2542","興富發","市","06/14","51.6","+2.45","+4.98","10","188","188.4","972","44.4","25.1","有","","","有","","","建材營造業","曹淵博","范華軍"
"130",="2354","鴻準","市","06/14","68.7","+0.5","+0.73","10","141","141.4","972","34.1","27.7","有","","有","","","","其他電子業","呂軍甫","陳國寶"
"131",="2812","台中銀","市","06/14","18.45","+0.05","+0.27","10","523","522.6","964","70.8","40.1","","","有","","","","銀行業","施建安","賈德威"
"132",="1513","中興電","市","06/14","191","+10.5","+5.82","10","50.3","50.31","961","68.1","30.3","有","","有","有","","","電機機械","江馥年","郭慧娟"
"133","00761B","國泰A級公司債","櫃","06/14","37.21","+0.22","+0.59","","","257.8","959","5.6","5.54","","","","","","","N/A","張錫","張雍川"
"134",="2368","金像電","市","06/14","192","+3.5","+1.86","10","49.2","49.18","944","42.8","26.3","有","","有","","","","電子零組件業","楊承澤","楊承澤"
"135",="1477","聚陽","市","06/14","383.5","-4","-1.03","10","24.2","24.19","928","34.4","21.4","有","","有","","","","紡織纖維","周理平","周心鵬"
"136",="9958","世紀鋼","市","06/14","355","-7","-1.93","10","23.8","25.69","912","36.7","16.3","有","","有","有","","","鋼鐵工業","賴文祥","李育慶"
"137","00746B","富邦A級公司債","櫃","06/14","37.43","+0.25","+0.67","","","243.3","911","5.9","5.83","","","","","","","N/A","史綱","林欣怡"
"138",="2027","大成鋼","市","06/14","36.8","-0.35","-0.94","10","243","243.4","896","37.5","27.6","有","","有","","","","鋼鐵工業","謝麗雲","謝榮坤"
"139","00773B","中信優先金融債","櫃","06/14","37.56","+0.23","+0.62","","","233.3","876","5.4","5.38","","","","","","","N/A","陳金榮","陳正華"
"140",="2313","華通","市","06/14","71.8","-0.2","-0.28","10","119","119.2","856","50.8","33.9","有","","有","","","","電子零組件業","江培琨","江培琨"
"141",="9941","裕融","市","06/14","156","-1","-0.64","10","64.8","54.82","855","34.2","24.5","","","","有","","有","其他業","嚴陳莉蓮","許國興"
"142",="9921","巨大","市","06/14","216","-0.5","-0.23","10","39.2","39.21","847","51.6","29.5","","","有","","","","運動休閒","杜(糸秀)珍","劉湧昌"
"143",="3035","智原","市","06/14","316.5","+9","+2.93","10","26.1","26.06","825","31","24.6","有","","有","","","","半導體業","洪嘉聰","王國雍"
"144",="2540","愛山林","市","06/14","196","+11.5","+6.23","10","41.7","41.66","817","37.8","34.5","","","","有","","","建材營造業","祝文宇","張境在"
"145",="6472","保瑞","市","06/14","780","+7","+0.91","10","10.1","10.16","792","17","7.16","","","有","","","","生技醫療業","盛保熙","盛保熙"
"146",="2258","鴻華先進-創","市","06/14","44.75","-0.05","-0.11","10","174","174.1","779","3.6","0.57","","","","","","","汽車工業","劉揚偉","李秉彥"
"147",="6121","新普","櫃","06/14","418.5","-8","-1.88","10","18.5","18.5","774","32.2","22.5","有","","有","","","","電腦及週邊設備業","宋福祥","宋福祥"
"148",="2915","潤泰全","市","06/14","68.3","0","0","10","110","110.4","754","48.4","46.9","有","","","","","","貿易百貨業","徐盛育","徐志漳"
"149",="1795","美時","市","06/14","284","-4.5","-1.56","10","26.6","26.55","754","58","14.4","有","","有","","有","","生技醫療業","Vilhelm Robert Wessman","Petar Antonov Vazharov"
"150",="6285","啟碁","市","06/14","154.5","-3.5","-2.22","10","48.5","48.53","750","27.5","20.7","有","","有","","","","通信網路業","謝宏波","高健榮"
"151",="2352","佳世達","市","06/14","37.85","-0.05","-0.13","10","197","196.7","744","40.2","27.9","有","","有","有","","","電腦及週邊設備業","陳其宏","黃漢州"
"152",="2049","上銀","市","06/14","208","-1.5","-0.72","10","35.4","35.38","736","34.7","15","有","","有","","","","電機機械","卓文恒","蔡惠卿"
"153",="00713","元大台灣高息低波","市","06/14","59.1","+0.25","+0.42","","","124.5","736","6.7","6.72","","","","","","","N/A","劉宗聖","陳沛宇"
"154",="2201","裕隆","市","06/14","68.5","-0.1","-0.15","10","107","107","733","70.8","47.9","有","","有","有","","","汽車工業","嚴陳莉蓮","姚振祥"
"155",="3324","雙鴻","櫃","06/14","799","+11","+1.4","10","9.09","9.09","727","25.8","19.1","有","","有","有","","","其他電子業","林育申","林育申"
"156",="4763","材料-KY","市","06/14","838","0","0","10","8.63","8.63","723","9.7","8.6","","","有","有","","","化學工業","王克璋","王克璋"
"157",="3406","玉晶光","市","06/14","630","+31","+5.18","10","11.3","11.27","710","34.3","18.5","有","","有","","","","光電業","陳天慶","郭英理"
