,length_fast,length_slow,return,drawdown,sharp
109,7,49,0.065343758044935,5.26548011606354,-0.20216315358651032
504,17,44,0.06425364981035503,5.5456348276661895,-0.21181611194399208
168,9,28,0.05994214720162281,5.112767309472037,-0.20932871973644937
110,7,50,0.05751296562144331,5.304291567242923,-0.20344969488461886
325,13,25,0.05133030577406054,5.780312555698024,-0.17246591362572394
139,8,39,0.0497799714097767,5.432075962933921,-0.20330973042948233
85,7,25,0.04782027387619129,5.216711164798573,-0.25697622742481674
455,16,35,0.04592576031205615,5.682898959980434,-0.1858166239822405
290,12,30,0.04575648711306845,5.4801590987566025,-0.17590637113109822
49,6,29,0.040472106035268025,4.77121256923888,-0.2348897483363723
52,6,32,0.035001217581157505,5.243576843142903,-0.20494047754592254
125,8,25,0.03462785393196103,5.144614941915949,-0.21353379876602072
228,10,48,0.03248276006464423,5.682664609706757,-0.20131819629216138
89,7,29,0.029448038710863645,4.656446701862995,-0.23728456598833705
201,10,21,0.02811487147448579,5.17837565300762,-0.20938825903973549
175,9,35,0.02807280835578899,5.721908218847369,-0.1694787931003208
18,5,38,0.012440729387971472,4.863856803938047,-0.2378510416357435
295,12,35,0.011814494745675374,5.303313562014883,-0.22455808277740288
108,7,48,0.0030740176003073104,5.372362796649279,-0.21227798686734659
430,15,50,-0.004455102792175841,4.906136113696149,-0.2533567838033398
161,9,21,-0.00465859839044831,5.450840774540834,-0.2583316158340649
329,13,29,-0.007082448744931915,5.4801590987566025,-0.18835781328354473
555,18,55,-0.008739519120787902,4.954862172287834,-0.2735851302268213
202,10,22,-0.009657775797941491,5.359760806613369,-0.21548006720038115
162,9,22,-0.013151738645893692,5.336104865351445,-0.27138305585904987
142,8,42,-0.01561393968174865,5.31736478659402,-0.23311183572715766
255,11,35,-0.016675413107012343,5.478371060743026,-0.2176557256011869
471,16,51,-0.02335427935768869,4.904745416892234,-0.26772650244541385
538,18,38,-0.02445313293357848,5.709731862181846,-0.2276924098143077
498,17,38,-0.02445313293357848,5.709731862181846,-0.2276924098143077
501,17,41,-0.02556450700855375,5.105517654030099,-0.23209444238583296
167,9,27,-0.026611204980040385,5.112767309472037,-0.2338458992250429
6,5,26,-0.027485503056214583,6.341844713591941,-0.19925525049887213
171,9,31,-0.0286561434123007,5.706494388188439,-0.19695282009636497
